STATION,AÑO,lluvia_emergencia,lluvia_encanazon,lluvia_espigazon,lluvia_floracion,lluvia_llenado_de_grano,lluvia_macollaje,lluvia_siembra,tmax_emergencia,tmax_encanazon,tmax_espigazon,tmax_floracion,tmax_llenado_de_grano,tmax_macollaje,tmax_siembra,tmin_emergencia,tmin_encanazon,tmin_espigazon,tmin_floracion,tmin_llenado_de_grano,tmin_macollaje,tmin_siembra
AR000087270,1992,32.8,47.8,0.0,75.2,44.9,16.9,0.0,18.93529411764706,25.544999999999998,26.372727272727275,25.02,27.78,23.163333333333334,17.805,7.627450980392157,14.965,14.281818181818181,12.66,18.325,11.016666666666667,10.315000000000001
AR000087270,1993,1.0,7.3999999999999995,136.0,32.0,232.20000000000002,30.8,1.8,21.613725490196078,26.835,26.90909090909091,28.49,27.014999999999997,23.523333333333333,19.02,7.5627450980392155,15.765,17.154545454545453,15.75,17.55,10.120000000000001,9.295
AR000087270,1994,66.6,51.0,22.3,19.0,155.4,37.8,4.0,21.98235294117647,27.7,22.145454545454545,28.869999999999997,28.645,26.46333333333333,16.175,10.68235294117647,17.365000000000002,14.154545454545454,17.1,16.905,14.229999999999999,5.2700000000000005
AR000087270,1995,3.5,20.900000000000002,7.1,7.1,38.1,11.9,0.0,21.099999999999998,26.49,28.527272727272727,33.88,29.639999999999997,24.87,20.905,9.390196078431373,12.825,14.172727272727274,21.740000000000002,16.665,12.360000000000001,7.029999999999999
AR000087270,1996,3.0,62.4,4.5,172.3,104.1,53.099999999999994,0.0,23.507843137254905,26.22,25.063636363636363,27.77,29.314999999999998,24.153333333333332,15.219999999999999,8.272549019607842,15.735,14.518181818181818,19.2,17.315,11.273333333333333,3.3600000000000003
AR000087270,1997,28.700000000000003,73.2,118.1,22.400000000000002,120.2,22.6,24.4,23.47254901960784,25.485,28.0,26.28,28.889999999999997,25.33,19.925,12.825490196078432,15.855,17.981818181818184,20.07,19.025,13.693333333333333,9.84
AR000087270,1998,34.3,25.1,0.5,41.1,27.9,31.9,24.9,19.888235294117646,25.825,27.80909090909091,28.07,29.48,21.69333333333333,19.23,10.68235294117647,14.594999999999999,16.463636363636365,17.25,17.465,11.386666666666667,11.075
AR000087270,1999,0.0,10.399999999999999,4.6,24.3,6.8999999999999995,1.0,0.0,21.16862745098039,24.69,29.681818181818183,25.380000000000003,32.28,25.613333333333333,18.93,9.866666666666667,12.819999999999999,17.5,12.68,16.165,13.523333333333333,9.015
AR000087270,2000,9.9,0.0,0.0,34.0,25.9,6.8999999999999995,19.5,19.780392156862746,26.994999999999997,27.8,26.3,27.705000000000002,24.133333333333333,19.73,6.892156862745098,16.095,17.763636363636365,16.94,16.305,11.72,9.27
AR000087270,2001,26.5,46.0,0.0,0.0,0.8,25.9,31.8,23.007843137254905,24.31,28.3,27.82,28.5,21.846666666666668,19.265,10.972549019607843,15.225,17.727272727272727,17.55,17.78,12.72,9.525
AR000087270,2002,35.7,114.0,24.6,10.2,219.9,99.0,40.2,21.888235294117646,29.384210526315787,24.6,25.99,29.775,24.32,15.125,10.652941176470588,18.89,13.927272727272726,14.99,19.352631578947367,10.956666666666667,7.890000000000001
AR000087270,2003,27.4,172.4,18.0,14.2,149.5,28.9,0.0,20.017647058823528,27.77,29.227272727272727,27.18,30.945,26.151724137931033,23.6,7.619607843137255,16.025,16.60909090909091,13.919999999999998,18.455000000000002,11.193333333333333,13.459999999999999
AR000087270,2004,21.7,28.9,80.0,90.19999999999999,60.699999999999996,59.9,25.4,21.570833333333336,27.941666666666666,30.224999999999998,27.766666666666666,28.700000000000003,28.08125,22.733333333333334,9.348979591836736,12.764705882352942,12.025,16.11111111111111,17.1,13.12142857142857,11.661111111111111
AR000087270,2005,14.799999999999999,24.3,7.699999999999999,21.1,71.1,73.4,382.5,24.430434782608696,28.62857142857143,27.21666666666667,32.15,33.455555555555556,22.592307692307692,22.033333333333335,9.43673469387755,13.383333333333333,14.36,13.966666666666669,19.177777777777777,8.441379310344828,10.552631578947368
AR000087270,2006,2.5,99.1,32.3,52.1,158.29999999999998,16.0,0.5,23.984,30.6125,30.839999999999996,27.575,33.775,27.540000000000003,24.044444444444444,9.179591836734694,15.827777777777776,18.581818181818182,16.29,18.2,10.28,11.2
AR000087270,2007,12.9,42.0,76.2,85.1,20.6,39.5,15.3,20.076190476190476,29.142857142857142,30.816666666666666,29.325,29.7125,26.066666666666666,17.7875,4.697916666666667,15.58888888888889,18.418181818181818,15.144444444444446,15.444444444444445,13.455555555555556,6.677777777777778
AR000087270,2008,0.0,55.29600000000001,4.1,43.21000000000001,80.99225806451614,40.72548387096774,31.214666666666666,22.71343846217079,27.999279720766562,29.378772005772007,29.66172043010753,31.17075268817204,25.749947761529658,20.731995189995192,6.5,15.558578560371517,18.7,17.3906541218638,18.425139041468316,12.651055134747015,9.609718323586744
AR000087270,2009,7.9,55.29600000000001,35.483548387096775,17.0,3.0,0.0,31.214666666666666,19.95,27.999279720766562,29.378772005772007,25.2,31.2,25.749947761529658,20.731995189995192,8.7,15.558578560371517,17.049952753339852,17.2,21.1,8.6,9.609718323586744
AR000087270,2010,33.8,24.9,9.4,17.0,30.2,140.2,13.9,19.64814814814815,24.89,28.066666666666666,32.325,29.966666666666665,24.7875,22.0,6.164,11.484210526315788,12.690000000000001,14.059999999999999,14.847368421052632,11.407407407407407,10.63888888888889
AR000087270,2011,41.1,84.5,59.300000000000004,12.9,119.9,24.2,8.4,21.38148148148148,27.427272727272726,26.825,32.475,30.0,27.253846153846155,15.700000000000001,8.885106382978725,14.655555555555557,14.981818181818182,17.88888888888889,17.925,11.806896551724137,3.6263157894736846
AR000087270,2012,120.9,84.1,55.4,26.9,20.6,46.0,7.6,23.29090909090909,27.910000000000004,28.342857142857145,32.03333333333333,31.349999999999998,26.685714285714287,22.85,9.026,16.042105263157897,17.5,18.48,17.310526315789474,13.407142857142857,9.094444444444443
AR000087270,2013,22.6,0.3,22.8,86.6,57.9,49.7,20.1,19.90869565217391,29.883333333333336,31.683333333333334,30.02,30.811111111111114,24.22222222222222,20.966666666666665,7.7124999999999995,13.38888888888889,15.76,17.3125,17.477777777777778,11.864285714285714,8.411111111111111
AR000087270,2014,115.1,20.6,32.0,13.8,128.6,73.4,50.0,23.913333333333334,28.4875,34.18333333333334,25.625,32.125,25.463636363636365,19.791666666666668,10.619565217391305,16.81,19.61,16.688888888888886,17.51111111111111,13.184,9.13888888888889
AR000087270,2015,321.7,70.9,46.199999999999996,57.9,104.4,4.8999999999999995,21.5,23.539130434782606,23.133333333333333,28.25,25.46,29.214285714285715,24.5,21.41,12.397916666666667,13.538888888888888,17.255555555555556,16.7,17.77777777777778,12.135714285714286,10.405263157894737
AR000087270,2016,50.8,184.8,72.9,8.9,95.29999999999998,13.1,42.3,22.813636363636363,26.922222222222224,24.3,33.95,30.025,25.807692307692307,19.191666666666666,8.846938775510203,14.395,15.045454545454545,16.255555555555556,16.75,10.507142857142856,8.883333333333333
AR000087270,2017,74.0,32.1,13.0,170.2,27.200000000000003,93.3,50.3,26.188235294117646,26.30909090909091,27.616666666666664,30.933333333333334,30.599999999999998,22.98,24.366666666666667,11.373333333333333,15.210526315789474,15.62,16.0875,16.28235294117647,14.028571428571428,14.11
AR000087270,2018,50.1,0.0,0.0,0.0,0.0,41.199999999999996,4.0,20.794736842105266,26.639999999999997,29.375,32.13333333333333,30.910000000000004,25.78,20.427272727272726,7.029166666666666,14.947058823529412,16.88888888888889,19.75,18.276470588235295,15.313793103448276,8.957894736842105
AR000087270,2019,49.599999999999994,97.3,24.2,76.0,104.1,9.200000000000001,3.0,22.195454545454545,28.033333333333335,33.875,29.639999999999997,32.9625,25.27777777777778,21.685714285714287,8.927272727272728,15.28125,16.43,18.35,18.98888888888889,10.603571428571428,7.333333333333333
AR000087270,2020,50.199999999999996,25.9,41.9,7.1,50.0,108.4,6.3999999999999995,25.033333333333335,30.8,29.133333333333336,29.46666666666667,32.785714285714285,25.925,21.563636363636366,8.91304347826087,14.166666666666666,15.169999999999998,14.52222222222222,17.88823529411765,11.767857142857142,7.455555555555555
AR000087270,2021,5.5,9.6,11.2,114.10000000000001,140.0,23.299999999999997,72.9,22.3,27.375,33.45,33.725,32.0,27.771428571428572,20.545454545454547,7.714893617021277,12.1,16.380000000000003,17.7125,16.978947368421053,12.72962962962963,7.234999999999999
AR000087344,1990,6.34,141.04,84.39999999999999,5.609999999999999,74.63,3.43,11.639999999999999,44.86960784313725,51.915,52.06363636363637,52.205,58.13250000000001,46.044999999999995,40.1375,25.06470588235294,31.985000000000003,38.29545454545455,34.3,40.03,25.021666666666665,22.697499999999998
AR000087344,1991,0.3,0.0,10.2,25.200000000000003,35.4,71.6,0.5,18.39607843137255,23.625,24.29090909090909,25.580000000000002,28.064999999999998,22.086666666666666,17.630000000000003,4.637254901960785,8.24,13.0,13.819999999999999,15.059999999999999,9.486666666666668,4.5200000000000005
AR000087344,1992,99.6,20.1,37.1,48.8,76.0,118.9,1.0,18.001960784313727,24.71,26.30909090909091,24.009999999999998,24.085,21.14,16.630000000000003,4.384313725490196,10.765,11.672727272727274,10.309999999999999,14.645,8.233333333333333,3.715
AR000087344,1993,3.0,29.7,5.6,8.9,170.2,24.700000000000003,0.0,19.245098039215687,25.78,21.018181818181816,30.560000000000002,24.785,21.040000000000003,17.355,3.1333333333333337,13.115,12.245454545454544,14.2,14.25,6.493333333333333,3.7399999999999998
AR000087344,1994,50.6,28.0,54.0,0.0,47.8,6.1,0.0,19.501960784313727,24.744999999999997,21.663636363636364,28.32,27.689999999999998,24.046666666666667,16.869999999999997,6.235294117647059,12.85,11.209090909090909,14.559999999999999,14.005,10.193333333333333,1.45
AR000087344,1995,0.3,64.0,8.9,46.0,90.1,2.0,0.0,18.70980392156863,23.81,27.663636363636364,33.83,25.285,24.353333333333335,19.565,3.5843137254901962,9.45,12.718181818181819,18.330000000000002,14.044999999999998,9.093333333333334,3.0300000000000002
AR000087344,1996,0.0,39.1,14.2,66.1,4.0,47.9,3.0,21.360784313725492,26.7,25.563636363636363,25.5,30.169999999999998,21.596666666666668,14.415000000000001,5.4941176470588236,11.76,12.20909090909091,13.8,15.26,7.680000000000001,0.32000000000000006
AR000087344,1997,6.6,85.8,49.2,17.4,81.9,18.299999999999997,5.0,21.452941176470585,23.125,24.38181818181818,25.09,26.425,23.35,17.115000000000002,7.098039215686274,11.5,12.227272727272727,14.85,14.175,9.236666666666668,3.755
AR000087344,1998,2.0,22.1,15.0,12.9,30.200000000000003,38.8,0.0,18.95294117647059,26.475,27.363636363636363,25.44,27.075,20.4,18.365000000000002,6.486274509803922,11.325,14.02727272727273,13.84,14.11,6.246666666666667,5.445
AR000087344,1999,0.0,20.700000000000003,15.0,71.5,103.6,0.0,0.0,19.56470588235294,22.84,24.663636363636364,22.22,27.53,23.94,15.719999999999999,4.625490196078432,9.690000000000001,14.890909090909092,9.76,14.36,9.94,4.83
AR000087344,2000,0.0,0.0,18.3,22.8,47.800000000000004,5.6,14.0,18.42549019607843,24.490000000000002,25.55454545454546,22.81,26.589999999999996,22.67,18.575,3.6098039215686275,11.785,13.927272727272726,14.1,13.629999999999999,7.833333333333333,3.62
AR000087344,2001,11.5,0.0,1.6,25.6,4.1,7.4,0.0,19.605882352941176,22.5,26.463636363636365,24.61,27.169999999999998,19.793333333333333,18.84,6.4490196078431365,12.120000000000001,13.818181818181818,13.680000000000001,14.0,9.103333333333333,2.975
AR000087344,2002,27.0,13.9,69.1,31.0,159.2,5.1,6.6,20.43333333333333,29.405,25.58181818181818,28.009999999999998,29.655,23.116666666666667,12.895,6.070588235294118,14.131578947368421,10.700000000000001,12.09,16.405,8.066666666666666,3.3950000000000005
AR000087344,2003,0.0,6.3999999999999995,71.1,0.0,95.69999999999999,5.1,17.0,18.12156862745098,26.514999999999997,28.645454545454548,28.76,30.655,24.263333333333332,17.6,4.32156862745098,12.715,13.345454545454544,12.790000000000001,15.655000000000001,7.946666666666667,8.89
AR000087344,2004,118.1,72.1,4.6,30.0,106.4,4.1,0.0,18.757692307692306,29.0,28.82,27.333333333333332,28.95555555555556,25.16,21.70909090909091,5.127083333333333,11.85,13.0625,12.299999999999999,15.360000000000001,10.729411764705883,5.026315789473684
AR000087344,2005,24.4,5.1,68.7,7.1,59.3,4.1,4.3999999999999995,19.78148148148148,28.25,25.9,28.133333333333336,32.2875,21.11111111111111,21.349999999999998,5.677272727272728,10.464705882352941,12.12857142857143,11.299999999999999,15.478571428571428,5.132000000000001,5.888888888888889
