PROVINCIA,DEPARTAMENTO,AÑO,RENDIMIENTO - KG X HA
Entre Ríos,La Paz,1992,2104.0
Entre Ríos,Nogoyá,1992,1800.0
Entre Ríos,Paraná,1992,2502.0
Entre Ríos,Tala,1992,2200.0
Entre Ríos,Uruguay,1992,2000.0
Entre Ríos,Victoria,1992,3000.0
Entre Ríos,Villaguay,1992,2200.0
La Pampa,Atreucó,1992,1101.0
La Pampa,Caleu Caleu,1992,1184.0
La Pampa,Capital,1992,1200.0
La Pampa,Catriló,1992,1159.0
La Pampa,Chapaleufú,1992,2000.0
La Pampa,Conhelo,1992,1299.0
La Pampa,Guatraché,1992,1151.0
La Pampa,Hucal,1992,1211.0
La Pampa,Loventué,1992,1200.0
La Pampa,Maracó,1992,1298.0
La Pampa,Quemú Quemú,1992,1302.0
La Pampa,Rancul,1992,1898.0
La Pampa,Realicó,1992,1801.0
La Pampa,Toay,1992,1199.0
La Pampa,Trenel,1992,1198.0
La Pampa,Utracán,1992,1212.0
Santa Fe,9 de Julio,1992,2800.0
Santa Fe,Belgrano,1992,2800.0
Santa Fe,Caseros,1992,2300.0
Santa Fe,Castellanos,1992,3200.0
Santa Fe,General López,1992,2400.0
Santa Fe,General Obligado,1992,2607.0
Santa Fe,Iriondo,1992,2900.0
Santa Fe,La Capital,1992,2900.0
Santa Fe,Las Colonias,1992,3000.0
Santa Fe,Rosario,1992,2400.0
Santa Fe,San Cristóbal,1992,2800.0
Santa Fe,San Javier,1992,2333.0
Santa Fe,San Jerónimo,1992,2900.0
Santa Fe,San Justo,1992,2600.0
Santa Fe,San Lorenzo,1992,2400.0
Santa Fe,San Martín,1992,2900.0
Santa Fe,Vera,1992,2583.0
Santa Fe,Villa Constitución,1992,2400.0
Buenos Aires,25 de Mayo,1993,2000.0
Buenos Aires,9 de Julio,1993,2300.0
Buenos Aires,Adolfo Alsina,1993,2150.0
Buenos Aires,Adolfo Gonzales Chaves,1993,2695.0
Buenos Aires,Alberti,1993,2200.0
Buenos Aires,Arrecifes,1993,1803.0
Buenos Aires,Ayacucho,1993,1806.0
Buenos Aires,Azul,1993,2600.0
Buenos Aires,Bahía Blanca,1993,1800.0
Buenos Aires,Balcarce,1993,2499.0
Buenos Aires,Baradero,1993,1701.0
Buenos Aires,Benito Juárez,1993,2201.0
Buenos Aires,Bolívar,1993,2200.0
Buenos Aires,Bragado,1993,2301.0
Buenos Aires,Campana,1993,1500.0
Buenos Aires,Cañuelas,1993,1556.0
Buenos Aires,Capitán Sarmiento,1993,1710.0
Buenos Aires,Carlos Casares,1993,2700.0
Buenos Aires,Carlos Tejedor,1993,2000.0
Buenos Aires,Carmen de Areco,1993,1914.0
Buenos Aires,Castelli,1993,1750.0
Buenos Aires,Chacabuco,1993,1799.0
Buenos Aires,Chascomús,1993,1500.0
