provincia,new_ncart,simbc,tipo_uc,limit_ppal,limit_secu,limit_terc,ind_prod,porc_sue1,posi_sue1,orden_sue1,ggrup_sue1,sgrup_sue1,text_sups1,text_bs1,drenaje_s1,profund_s1,alcalin_s1,porc_pens1,erhidr_s1,ereoli_s1,rocos_s1,anegab_s1,porc_sue2,posi_sue2,orden_sue2,ggrup_sue2,sgrup_sue2,porc_sue3,posi_sue3,orden_sue3,ggrup_sue3,sgrup_sue3,ogc_fid
SALTA,16040.0,EPtc-17,Complejo,Pendientes,Prof.Efectiva somera,-,19.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Llanura extendida,Molisoles,Haplustoles,Haplustoles entico,30.0,Loma medanosa,Molisoles,Haplustoles,Haplustoles entico,1897.0
CHACO,5126.0,MIac-8,Asociacion,Erosion hidrica actu,Drenaje deficiente,-,28.0,50.0,Media Loma,Molisoles,Argiudoles,Argiudoles acuico,Franca,Franco arcillo limos,Moderado,40.0,No sodico,1.0,Moderada,-,-,-,50.0,Loma,Alfisoles,Durustalfes,Durustalfes,0.0,,,,,7153.0
SALTA,16003.0,ENli-6,Complejo,Climatica,Pendientes,-,6.0,60.0,Ladera empinada,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.0,-,0.0,-,-,-,-,20.0,Lomadas graniticas,Entisoles,Torriortentes,Torriortentes litico,10.0,Lomadas graniticas,Entisoles,Torriortentes,Torriortentes tipico,1898.0
SALTA,16003.0,ENli-6,Complejo,Climatica,Pendientes,-,6.0,60.0,Ladera empinada,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.0,-,0.0,-,-,-,-,20.0,Lomadas graniticas,Entisoles,Torriortentes,Torriortentes litico,10.0,Lomadas graniticas,Entisoles,Torriortentes,Torriortentes tipico,1960.0
SALTA,16036.0,ENtc-24,Complejo,Pedregosidad,Pendientes,-,31.0,50.0,Sector apical y medio de cono,Entisoles,Torriortentes,Torriortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,2.0,Ligera,-,Interfiere labra,-,30.0,Sector medio e inferior de conos,Entisoles,Torrifluventes,Torrifluventes tipico,20.0,Sector medio y distal de cono,Aridisoles,Cambortides,Cambortides tipico,1899.0
SALTA,16017.0,DGtc-1,Asociacion,Climatica,Baja retenc humedad,-,51.0,65.0,Sector medio y superior de cono,Aridisoles,Cambortides,Cambortides tipico,Areno franca,Franco arenosa,Bien drenado,80.0,No sodico,3.0,-,-,Interfiere labra,-,35.0,Sector medio y superior de cono,Entisoles,Torrifluventes,Torrifluventes tipico,0.0,,,,,1900.0
SALTA,16001.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Franco arcillosa,Imperfecto,100.0,No sodico,3.0,Moderada,-,Interfiere labra,-,30.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1901.0
SALTA,16071.0,MNud-12,Asociacion,Erosion hidrica actu,-,-,73.0,40.0,Llanura,Molisoles,Haplustoles,Haplustoles udico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,5.0,Moderada,-,-,-,40.0,Llanura,Molisoles,Argiustoles,Argiustoles udico,20.0,Llanura,Molisoles,Haplustoles,Haplustoles entico,1902.0
RIO NEGRO,15055.0,DFtc-5,Asociacion,Erosion eolica actua,Salin en 1ros 50cm,Prof.Efectiva somera,17.0,60.0,Loma,Aridisoles,Calciortides,Calciortides tipico,Areno franca,Areno-franca,Algo Excesivo,100.0,Moderada,3.0,Moderada,Moderada,-,-,40.0,Plano bajo,Entisoles,Torriortentes,Torriortentes litico,0.0,,,,,2479.0
SALTA,16007.0,MKud-27,Complejo,Erosion hidrica actu,-,-,56.0,70.0,Llanura extendida,Molisoles,Argiustoles,Argiustoles udico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,5.0,Ligera,-,-,-,30.0,V?a de escurrimiento,Entisoles,Ustifluventes,Ustifluventes tipico,0.0,,,,,1903.0
SALTA,16008.0,MPud-1,Complejo,Erosion hidrica actu,-,-,54.0,60.0,Llanura extendida,Molisoles,Paleustoles,Paleustoles udico,Areno franca,Franco arcillosa,Moderado,140.0,No sodico,5.0,Moderada,-,-,-,40.0,Llanura extendida,Molisoles,Argiustoles,Argiustoles udico,0.0,,,,,1904.0
SALTA,16004.0,EPli-25,Complejo,Pendientes,Prof.Efectiva somera,-,3.0,50.0,V?a de escurrimiento,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.0,-,0.0,-,-,-,-,20.0,Lomadas graniticas,Entisoles,Ustortentes,Ustortentes tapto argico,20.0,Lomadas graniticas,Molisoles,Haplustoles,Haplustoles litico,1905.0
SALTA,16001.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Franco arcillosa,Imperfecto,100.0,No sodico,3.0,Moderada,-,Interfiere labra,-,30.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1906.0
SALTA,16041.0,ETtc-14,Complejo,Salin en 1ros 50cm,Alcalin menos 50cm,Climatica,9.0,70.0,Loma medanosa,Entisoles,Torripsamentes,Torripsamentes tipico,Arenosa,Arenosa,Excesivo,120.0,No sodico,1.0,-,Severa,-,-,30.0,Explanadas,Entisoles,Psamacuentes,Psamacuentes tipico,0.0,,,,,1910.0
SALTA,16001.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Franco arcillosa,Imperfecto,100.0,No sodico,3.0,Moderada,-,Interfiere labra,-,30.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1911.0
SALTA,16004.0,EPli-25,Complejo,Pendientes,Prof.Efectiva somera,-,3.0,50.0,V?a de escurrimiento,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.0,-,0.0,-,-,-,-,20.0,Lomadas graniticas,Entisoles,Ustortentes,Ustortentes tapto argico,20.0,Lomadas graniticas,Molisoles,Haplustoles,Haplustoles litico,1907.0
SALTA,16001.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Franco arcillosa,Imperfecto,100.0,No sodico,3.0,Moderada,-,Interfiere labra,-,30.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1908.0
SALTA,16007.0,MKud-27,Complejo,Erosion hidrica actu,-,-,56.0,70.0,Llanura extendida,Molisoles,Argiustoles,Argiustoles udico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,5.0,Ligera,-,-,-,30.0,V?a de escurrimiento,Entisoles,Ustifluventes,Ustifluventes tipico,0.0,,,,,1909.0
SALTA,21045.0,MKtc-9,Asociacion,Climatica,-,-,55.0,60.0,Explanadas,Molisoles,Argiustoles,Argiustoles tipico,Franca,Franca,Bien drenado,100.0,No sodico,1.0,-,-,-,-,40.0,Explanadas,Molisoles,Haplustoles,Haplustoles tipico,0.0,,,,,1916.0
SALTA,16023.0,EItc-14,Complejo,Drenaje deficiente,Salin en 1ros 50cm,Alcalin menos 50cm,10.0,50.0,V?a de escurrimiento,Entisoles,Torrifluventes,Torrifluventes tipico,Arenosa,Arenosa,Bien drenado,80.0,No sodico,2.0,Ligera,Ligera,Interfiere labra,-,30.0,Llanura extendida,Inceptisoles,Acueptes,Acueptes tipico,20.0,,Alfisoles,Natracualfes,Natracualfes tipico,1912.0
SALTA,16023.0,EItc-14,Complejo,Drenaje deficiente,Salin en 1ros 50cm,Alcalin menos 50cm,10.0,50.0,V?a de escurrimiento,Entisoles,Torrifluventes,Torrifluventes tipico,Arenosa,Arenosa,Bien drenado,80.0,No sodico,2.0,Ligera,Ligera,Interfiere labra,-,30.0,Llanura extendida,Inceptisoles,Acueptes,Acueptes tipico,20.0,,Alfisoles,Natracualfes,Natracualfes tipico,1913.0
SALTA,16001.0,DEtc-1,Asociacion,Climatica,Erosion hidrica actu,-,28.0,70.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides tipico,Franco arenosa,Franco arcillosa,Imperfecto,100.0,No sodico,3.0,Moderada,-,Interfiere labra,-,30.0,Sector apical y medio de cono,Aridisoles,Paleoargides,Paleoargides petrocalcico,0.0,,,,,1914.0
SALTA,16071.0,MNud-12,Asociacion,Erosion hidrica actu,-,-,73.0,40.0,Llanura,Molisoles,Haplustoles,Haplustoles udico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,5.0,Moderada,-,-,-,40.0,Llanura,Molisoles,Argiustoles,Argiustoles udico,20.0,Llanura,Molisoles,Haplustoles,Haplustoles entico,1915.0
SALTA,16056.0,MKud-22,Asociacion,Erosion hidrica actu,-,-,91.0,50.0,Explanadas,Molisoles,Argiustoles,Argiustoles udico,Franca,Franco arcillosa,Bien drenado,100.0,No sodico,5.0,Ligera,-,-,-,25.0,Explanadas,Alfisoles,Haplustalfes,Haplustalfes udico,25.0,Explanadas,Molisoles,Haplustoles,Haplustoles entico,2062.0
SALTA,16024.0,EItc-15,Complejo,Climatica,Pedregosidad,-,33.0,50.0,Llanura extendida,Entisoles,Torrifluventes,Torrifluventes tipico,Arenosa,Arenosa,Bien drenado,80.0,No sodico,2.0,Ligera,Ligera,Interfiere labra,-,30.0,Llanura extendida,Entisoles,Torriortentes,Torriortentes tipico,20.0,Llanura extendida,Aridisoles,Cambortides,Cambortides tipico,1917.0
SALTA,16040.0,EPtc-17,Complejo,Pendientes,Prof.Efectiva somera,-,19.0,40.0,Pendiente escarpada,Entisoles,Ustortentes,Ustortentes tipico,Areno-gravillosa,Areno-gravosa,Excesivo,100.0,No sodico,5.0,Ligera,-,Interfiere labra,-,30.0,Llanura extendida,Molisoles,Haplustoles,Haplustoles entico,30.0,Loma medanosa,Molisoles,Haplustoles,Haplustoles entico,1923.0
